DAF-28,#9370DB
FLP-1,#800080
FLP-2,#800080
FLP-4,#800080
FLP-5,#800080
FLP-6,#800080
FLP-7,#800080
FLP-8,#800080
FLP-10,#800080
FLP-11,#800080
FLP-13,#800080
FLP-15,#800080
FLP-17,#800080
FLP-18,#800080
FLP-19,#800080
FLP-20,#800080
FLP-21,#800080
FLP-22,#800080
FLP-25,#800080
INS-1,#20B2AA
INS-3,#20B2AA
INS-4,#20B2AA
INS-6,#20B2AA
INS-7,#20B2AA
INS-9,#20B2AA
INS-22,#20B2AA
INS-26,#20B2AA
INS-32,#20B2AA
NLP-1,#4B0082
NLP-3,#4B0082
NLP-5,#4B0082
NLP-6,#4B0082
NLP-7,#4B0082
NLP-8,#4B0082
NLP-9,#4B0082
NLP-10,#4B0082
NLP-11,#4B0082
NLP-12,#4B0082
NLP-13,#4B0082
NLP-14,#4B0082
NLP-15,#4B0082
NLP-18,#4B0082
NLP-19,#4B0082
NLP-21,#4B0082
NLP-24,#4B0082
NLP-27,#4B0082
NTC-1,#4682B4
PDF-1,#FF00FF
PDF-2,#FF00FF
PDF-3,#FF00FF
PDF-4,#FF00FF
PDF-5,#FF00FF
PDF-6,#FF00FF
PDF-7,#FF00FF
PDF-8,#FF00FF
PDF-9,#FF00FF
PDF-10,#FF00FF
PDF-11,#FF00FF
PDF-12,#FF00FF
Tyramine,#00FFFF
